Company Name,Website URL,Contact Number,Location/Address,Industry/Category,Company Description,Email Address
"YaFix, Apple iPhone, iPad, iPod, & Macbook Repair",http://www.flickr.com/photos/yafix,(347) 669-2349,349 5th Ave,IT Services,"From Business: NYC's #1 Apple Repair & Customization Shop for the iPhone 3G, 3GS, 4, & 4S; the iPad 1 & 2; & the iPod Touch 2G, 3G, & 4G; We Offer Original Parts, Amazing…",
Ramp Up Technology,,(212) 633-0656,108 W 39th St,IT Services,From Business: At Ramp Up we work hand in hand with our customers to define focused Information Technology (IT) strategies that translate into viable and sustainable solutions…,
City Tech Wizards,http://www.citytechwizards.com,(646) 820-4369,325 W 38th St Rm 1105,IT Services,"From Business: We are a computer repair service located in midtown Manhattan, servicing all of New York City. Call us today at 646-820-4369!",
Computer Integrated Services Company of Ny,https://www.cisus.com,(212) 577-6033,12 E 44th St,IT Services,"From Business: Established in 1995, Computer Integrated Services is one of the leading providers of network integration and infrastructure services in the northeastern United…",
Pc Doctor,,(917) 399-1794,645 12th Ave,IT Services,From Business: Xpress PC Doctor is the smart choice for affordable and reliable on-site Computer Repair Services and Networking Support . Our work is done properly the first…,
Sentril Tech,,(646) 283-9667,445 E 65th St Apt 6b,IT Services,From Business: We've proudly been service New York City since 2006 and are committed to provide the best computer repair service.,
iFix New York,http://www.ifixny.com,(212) 933-4440,247 E 77th St,IT Services,"From Business: iFIX New York is a state-of-the-art most advanced repair center for laptops, desktops, smartphones, tablets, severs, pro-audio equipment and more. Also we do…",
Daniel Express Communications,http://danielexpress.com,(212) 877-2200,495 Amsterdam Ave,IT Services,"From Business: We repair cellular phones, Samsung, Blackberry, Motorola, Nokia, Smart phones, e.t.c.",
"PSOFNTECH, INC",http://www.psofntech.com,(212) 740-1300,1221 Saint Nicholas Ave,IT Services,"From Business: PSOFNTECH, INC it is a business with the intention and dedication to help people with technology. We work residential and small business customers. PSOFNTECH can…",
Icompunet Inc,http://www.icompunet.com,(212) 461-1019,75 Maiden Ln Ste 335,IT Services,,
TriStateTek,,(212) 748-9290,248 W 35th St Rm 1206,IT Services,,
Technology Pros,,(800) 778-5331,20 W 44th St,IT Services,"From Business: (800) 778 5331 Technology Pros, We're not Just Geeks, We're Possionals. On-Site and Off-Site Remote Computer Service. Amazing Pricing, Amazing service. Once your…",
Little Laptop Shop,http://www.littlelaptopshop.com,(212) 674-3111,7 Clinton St,IT Services,,
D & Q Computer Inc,http://www.dandqcomputer.com/contact,(212) 260-8236,206 Avenue B,IT Services,,
Mac Concierge Inc,http://www.macconcierge.com,(212) 533-8222,55 W 21st St,IT Services,From Business: Mac Concierge is an Information Technology consulting and support firm for small to mid-sized business. We specialize in personalized Mac & Windows network…,
Pure Logic,http://www.purelogic.com,(212) 675-9800,148 W 24th St,IT Services,,
Mac Hattan,http://machattan.com,(212) 242-9393,249 W 34th St,IT Services,,
Computer Repair NYC,http://www.audiovideonyc.com,(212) 729-4305,519 8th Ave,IT Services,"From Business: Interactive Vision Solutions is a full service New York City Audio Visual and computer equipment rental,repair and AV, IT consulting company that specializes in…",
Precision Discovery,http://precisiondiscovery.com,(212) 292-1161,25 W 45th St Ste 701,IT Services,,
3 H Technologies,http://www.apple.com,(212) 588-8760,1173 2nd Ave Frnt 1,IT Services,,
My Computer Tech Inc,http://www.mycomputertechinc.com,(212) 828-1600,400 E 87th St,IT Services,,
Computer Guys,,(212) 288-2416,229 E 84th St Frnt 2,IT Services,,
Hitec Computer Repairs,,(212) 374-1008,108 Duane St,IT Services,,
Sotis Business Technology,,(646) 289-5902,79 Leonard St,IT Services,,
Nerd On Demand,http://nerdondemand.com,(646) 801-6373,96 Cedar St,IT Services,,
Pinnadyne,http://www.pinnadyne.com,(877) 851-5250,30 Broad St,IT Services,,
Aspeed,,(646) 633-4900,1 Penn Plz,IT Services,,
Techknowsphere Solutions Inc,http://transbeam.com,(212) 391-1570,20 W 36th St,IT Services,,
Asap Computer Repair Service,,(347) 705-7369,445 9th Ave # 900216,IT Services,,
Advanced Computer Technologies Inc,http://www.actweb.com,(212) 764-6430,200 Park Ave,IT Services,,
877TECH Of New York City,,(646) 553-1618,845 3rd Ave Fl 6,IT Services,,
Bion Tech,http://biontech.com,(516) 596-5443,641 Lexington Ave,IT Services,,
Geek National,http://gicny.com,(212) 488-0001,410 Park Ave,IT Services,,
Ibmtss,,(212) 572-2900,909 3rd Ave,IT Services,,
Computer Repair - Geeks Mobile,,(718) 360-9369,310 W 72nd St,IT Services,,
Ng Tech Inc,,(212) 396-2088,217 E 85th St,IT Services,,
Computer Hospital,https://computer-hospital.com,(212) 568-6767,2087 Amsterdam Ave,IT Services,,
Geek Choice,http://www.geekchoice.com/New-York,(212) 564-7500,243 W Broadway,IT Services,"we have been a resident of beacon hill for over 43 years now, and i just recently stumbled upon Geek Choice. I stopped in spoke with a technician and he gave me some advice,…",
Corporate Innovation Technologies,,(212) 498-9992,10 East 40 St,IT Services,We've been working with them for a little over a year. They do a great job back filling our IT department and making recommendations to improve our infrastructure. They are…,
Miracle Technologies Inc,https://www.miracletechs.com,(646) 237-4472,30 Wall St,IT Services,As always Lina came to our office to help us with some on-going desktops and network issues; camera not working and a hijacked browser AND to help us develop a solid back-up…,
Integrate New York,,(855) 254-4396,110 W 40th St Rm 1004,IT Services,"CAN SOLVE ANY PROBLEM.    ALWAYS REACHABLE.HAVE NEVER FAILED TO GET OUR SYSTEM UP AND RUNNING.  REASONABLE RATES.   PLEASANT TO DEAL WITH.""",
Mac PC NY,,(212) 991-8240,7 Dey St,IT Services,My laptop died on me  when I was visiting New York City. I found this place to be very close to my hotel and went there hoping to get it fixed in the same day. Unfortunatelly…,
GreenTech Expert,,(917) 497-7023,,IT Services,"What a great company. request for support was sent online, in less than one hour we got a call back to set up a time to visit our premise. the technician showed up on time, he…",
Hello Nerds,https://www.hellonerds.ca,(888) 878-0593,77 Water St 7th Fl,IT Services,"Hello Nerds Inc..Good Job.  You understood my problem and fixed it.Thank you.!!!!!!!!!!!!!!!!""",
Tecniquo,,(800) 562-5648,41 River Ter,IT Services,"The best technicians in town! I would like to give my deepest gratitude to the guys who helped repair my laptop. They are relly amazing!""",
Hi-Tech Electronics Camera and Macbook Repair,http://www.newhitech.net,(212) 219-3794,47 Canal st,IT Services,"They have Very Professional staff in the back of the store. the price is very reasonalbe, and the business is very honlisty.Good Electronic Repair Shop!!Highly Recommend!!!""",
Apple Grand Central,https://www.apple.com/retail/grandcentral?cid=aos-us-seo-maps,(212) 284-1800,45 Grand Central Terminal,IT Services,"Such a convenient location""",
SpeedGeek,http://www.speedgeek.com,(212) 641-0008,20 Vesey Street,IT Services,"The best computer support, we can fix anything! On-site and drop off service, as well as remote desktop.""",
Cyber Security,http://www.aspiretss.com,(917) 600-9233,380 Lexington Ave,IT Services,"I was working in a project with some folks from Aspire Tech, they have solid technical skills in Cyber Security area""",
NY City Geek,,(212) 537-6835,666 3rd Ave,IT Services,"Ny City Geek is a computer repair company in NY.They did a great job with my dell laptop in 1 day. I will call them again if i have computer problems. Tnx.""",
Digital Repairs NYC,,(917) 946-6487,736 7th Ave,IT Services,"Skilled tech, My iPhone 6 was fixed in less than 10 minutes and now it works great.My screen was Completely shattered and didn't show anything. they Assured me that they can…",
Computer Troubleshooters,http://www.comptroub.com,(212) 686-1234,132 Madison Ave,IT Services,"Its looking nice..THXElliot""",
Offshore Computing Service Limited,,(212) 709-8338,67 Wall St,IT Services,"I was your client when it was Service Resource Industries, the service was excellent then.""",
Apple Berry Parts Inc 57 St,,(212) 581-0600,205 W 57th St,IT Services,"amazing quick fast turn around fixed my iphone in no time , great service easy to get to friendly staff""",
SGU Consulting,http://www.sguconsulting.com,(212) 380-1333,110 W 140th St,IT Services,"SGU is the best! They've been taking care of my computer repair needs for years. If I ever have a problem with my computer network and need speedy tech support, SGU Consulting…",
Brealcorp,,(917) 677-9810,,IT Services,I went to varios shops and for only a virus they said they need to stay wth it or it would be a ridiculus price that was out of my budget. so I spoke on the phone with this…,
Data Vision,http://www.datavis.com,(212) 689-1111,225 W 39th St,IT Services,"I always that i need something for my computer i go to data vision is a great store.""",
LaptopMD - Computer & iPhone Repair,http://www.laptopmd.com,(212) 920-4833,"247 West 38th Street, #602",IT Services,"Went in to get a jack replaced. No one there to greet you when you walk in, so it's a little confusing where you are supposed to go or who to talk to. Went in to pick up the…",
Geek Squad,http://www.geeksquad.com,(800) 371-6275,529 5th Ave,IT Services,"Technical people were totally useless.  I paid $170 for a new video card, that I didn't even need and the computer was having the exact same problem it was having before I ever…",
Atomic Bytes Inc,https://sherlockdatarecovery.com/location,(212) 249-9888,500 E 87th St,IT Services,"From Business: With over 23 years of Experince Atomic bytes systems are Seagate Northeast certified data recovery services covering Seagate, Maxtor, West one Digital, IBM,…",
American Copy Machine LTD.,http://www.americancopymachines.com,(212) 244-2727,141 W 28th St Fl 10,IT Services,Crooks!  They will bait and switch you and lock you into a service contract with   hidden fees. When you try to discuss it with them they will tell you too bad. I wish I would…,
Cybercity,https://www.cybercity.nyc,(212) 633-0649,224 W 30th St,IT Services,"Avoid them.  Our server crashed while we were under them, and we were down for nearly 2 weeks.  They also are horrible with Mac support.""",
Global Data Publications Inc,https://www.globaldata.com/contact-us,(646) 395-5460,441 Lexington Ave,IT Services,I found this company on Craigslist advertising for Data Entry.  I got an e-mail back saying to sign in to my Yahoo Messenger to interview with someone named Roswell McDonald. …,
New York Computer Help - SOHO,https://www.newyorkcomputerhelp.com,(212) 599-0339,110 Greene St Fl 11,IT Services,"From Business: Founded in 2000, our computer service centers focus on providing high quality service for our customers. Specializing in all computer issues, we look to fix the…",
Promethean IT,,(212) 226-6686,65 Bleecker St,IT Services,From Business: The ancient myth of Prometheus has been passed down throughout the ages. Prometheus was a titan who defied Zeus to bring the technological advancement of fire to…,
Tech Support 4 NYC,http://www.techsupport4nyc.com,(877) 467-4989,900 Avenue Of The Americas,IT Services,"From Business: Computer Consulting firm servicing small business as well as home users with all of their pc windows and mac tech support needs. Free Estimate, and Flat Rate…",
